Domain	Status	Genome ID	Genome Name	
Archaea	Permanent Draft	2571042356	Thermoplasmata T3F75	
Bacteria	Finished	637000107	Escherichia coli O157:H7 EDL933 (EHEC)	
Bacteria	Finished	637000110	Escherichia coli K12- W3110	
Bacteria	Finished	637000046	Burkholderia cenocepacia AU 1054	
Bacteria	Finished	637000051	Burkholderia cepacia 383	
Bacteria	Finished	637000053	Paraburkholderia xenovorans LB400	
Bacteria	Finished	637000261	Shigella boydii sv. 4 Sb227	
Bacteria	Finished	637000263	Shigella flexneri sv. 2a 2457T	
Bacteria	Finished	637000264	Shigella flexneri sv. 2a 301	
Bacteria	Finished	637000265	Shigella flexneri sv. 5 8401	
Bacteria	Finished	637000155	Magnetospirillum magneticum AMB-1	
Bacteria	Permanent Draft	638341024	Burkholderia cenocepacia PC184	
Bacteria	Permanent Draft	638341239	Yersinia frederiksenii ATCC 33641	
Bacteria	Permanent Draft	638341240	Yersinia intermedia ATCC 29909	
Bacteria	Permanent Draft	638341241	Yersinia mollaretii ATCC 43969	
Bacteria	Permanent Draft	638341082	Escherichia coli 101-1	
Bacteria	Finished	638341084	Escherichia coli O111:NM B171 (EPEC2)	
Bacteria	Permanent Draft	638341085	Escherichia coli O148:H28 B7A (CS6:LT+:ST+)(ETEC)	
Bacteria	Finished	638341086	Escherichia coli O111:H9 E110019 (EPEC) GCA_000167875	
Bacteria	Permanent Draft	638341087	Escherichia coli E22 (EPEC)	
Bacteria	Finished	639633014	Burkholderia cenocepacia HI2424	
Bacteria	Finished	640069335	Yersinia enterocolitica enterocolitica sv. 0:08 8081	
Bacteria	Finished	640427115	Geobacter uraniireducens Rf4	
Bacteria	Finished	640427143	Shigella sonnei Ss046	
Bacteria	Finished	640753024	Escherichia coli sv. O139:H28 E24377A (ETEC)	
Bacteria	Finished	640753025	Escherichia coli sv. O9 HS	
Bacteria	Finished	641228505	Salmonella enterica arizonae sv. 62:z4,z23 RSK2980	
Bacteria	Finished	641522609	Burkholderia cenocepacia MC0-3	
Bacteria	Finished	641522623	Escherichia coli C ATCC 8739	
Bacteria	Finished	641522624	Escherichia coli SECEC SMS-3-5	
Bacteria	Finished	641522625	Escherichia coli DH10B	
Bacteria	Finished	641522635	Leptothrix cholodnii SP-6	
Bacteria	Finished	641522650	Shigella boydii sv. 18 CDC 3083-94	
Bacteria	Permanent Draft	641736116	Escherichia coli O157:H7 EC4401	
Bacteria	Permanent Draft	641736163	Escherichia albertii TW07627	
Bacteria	Permanent Draft	641736214	Escherichia coli O157:H7 EC4196	
Bacteria	Permanent Draft	641736220	Escherichia coli O157:H7 EC4076	
Bacteria	Permanent Draft	641736221	Escherichia coli O157:H7 EC4113	
Bacteria	Permanent Draft	641736222	Escherichia coli O157:H7 EC4486	
Bacteria	Permanent Draft	641736225	Escherichia coli O157:H7 EC4501	
Bacteria	Permanent Draft	641736226	Escherichia coli O157:H7 EC508	
Bacteria	Finished	642555129	Geobacter bemidjiensis Bem, DSM 16622	
Bacteria	Finished	642555130	Geobacter lovleyi SZ	
Bacteria	Permanent Draft	642791630	Escherichia coli O157:H7 EC4024	
Bacteria	Finished	643348523	Burkholderia cenocepacia gv. III J2315	
Bacteria	Finished	643348544	Escherichia coli 55989	
Bacteria	Finished	643348546	Escherichia coli IAI1	
Bacteria	Finished	643348547	Escherichia coli IAI39	
Bacteria	Finished	643348549	Escherichia coli O157:H7 EC4115	
Bacteria	Finished	643348551	Escherichia coli SE11	
Bacteria	Permanent Draft	642979322	Escherichia coli O157:H7 TW14588	
Bacteria	Finished	644736333	Candidatus Accumulibacter phosphatis Type IIA UW-1	
Bacteria	Finished	644736359	Escherichia coli B REL606	
Bacteria	Finished	644736361	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	
Bacteria	Finished	644736362	Escherichia coli BW2952	
Bacteria	Finished	644736363	Escherichia coli O157:H7 TW14359	
Bacteria	Finished	644736365	Escherichia coli O17:K52:H18 UMN026	
Bacteria	Finished	644736371	Geobacter sp. M21	
Bacteria	Permanent Draft	645058789	Yersinia rohdei ATCC 43380	
Bacteria	Permanent Draft	645058792	Yersinia aldovae ATCC 35236	
Bacteria	Permanent Draft	645058835	Escherichia coli D9	
Bacteria	Finished	646311923	Escherichia coli O103:H2 12009	
Bacteria	Finished	646311924	Escherichia coli O111:H 11128	
Bacteria	Finished	646311926	Escherichia coli K-12, MG1655	
Bacteria	Permanent Draft	645951847	Escherichia coli O157:H7 FRIK2000	
Bacteria	Permanent Draft	645951861	Escherichia coli O157:H7 FRIK966	
Bacteria	Permanent Draft	646206256	Citrobacter portucalensis 30_2	
Bacteria	Permanent Draft	646206261	Escherichia sp. 1_1_43	
Bacteria	Finished	646564533	Escherichia coli O55:H7 CB9615	
Bacteria	Finished	646862322	Escherichia coli O44:H18 042 (EAEC)	
Bacteria	Finished	646862323	Escherichia coli BL21 (DE3)	
Bacteria	Finished	646862324	Escherichia coli BL21 (DE3)	
Bacteria	Finished	646862325	Escherichia coli K12 DH1, ATCC 33849	
Bacteria	Finished	646862341	Shigella flexneri sv. Fxv 2002017	
Bacteria	Permanent Draft	647533158	Escherichia coli B088	
Bacteria	Permanent Draft	647533159	Escherichia coli B185	
Bacteria	Permanent Draft	647533160	Escherichia coli B354	
Bacteria	Permanent Draft	647533161	Escherichia coli FVEC1412	
Bacteria	Finished	648028025	Escherichia coli O26:H11 11368	
Bacteria	Permanent Draft	648276643	Escherichia coli H299	
Bacteria	Permanent Draft	648276644	Escherichia coli H591	
Bacteria	Permanent Draft	648276645	Escherichia coli H736	
Bacteria	Permanent Draft	648276648	Escherichia coli M718	
Bacteria	Permanent Draft	648276649	Escherichia coli MS 107-1	
Bacteria	Permanent Draft	648276650	Escherichia coli MS 115-1	
Bacteria	Permanent Draft	648276651	Escherichia coli MS 116-1	
Bacteria	Permanent Draft	648276652	Escherichia coli MS 119-7	
Bacteria	Permanent Draft	648276653	Escherichia coli MS 124-1	
Bacteria	Permanent Draft	648276654	Escherichia coli MS 146-1	
Bacteria	Permanent Draft	648276655	Escherichia coli MS 175-1	
Bacteria	Permanent Draft	648276656	Escherichia coli MS 182-1	
Bacteria	Permanent Draft	648276658	Escherichia coli MS 187-1	
Bacteria	Permanent Draft	648276659	Escherichia coli MS 196-1	
Bacteria	Permanent Draft	648276660	Escherichia coli MS 198-1	
Bacteria	Permanent Draft	648276662	Escherichia coli MS 21-1	
Bacteria	Permanent Draft	648276664	Escherichia coli MS 69-1	
Bacteria	Permanent Draft	648276665	Escherichia coli MS 78-1	
Bacteria	Permanent Draft	648276666	Escherichia coli MS 84-1	
Bacteria	Finished	648276668	Escherichia coli TA143	
