,strain,gene,hit_score
0,Abiotrophia_defectiva,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,91.2
1,Abiotrophia_defectiva,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,21.9
2,Abiotrophia_defectiva,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,534.7
3,Abiotrophia_defectiva,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,69.2
4,Abiotrophia_defectiva,methylmalonyl-CoA-decarboxylaseBeta-KOK20509,523.7
5,Abiotrophia_defectiva,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,20.9
6,Abiotrophia_defectiva,methylmalonyl-CoA-decarboxylaseGamma-KOK23351,136.2
7,Abiotrophia_defectiva,methylmalonyl-CoA-epimerase-EC5-1-99-1,39.8
8,Acetanaerobacterium_elongatum,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,78.6
9,Acetanaerobacterium_elongatum,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,256.6
10,Acetanaerobacterium_elongatum,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,574.1
11,Acetanaerobacterium_elongatum,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,354.2
12,Acetanaerobacterium_elongatum,methylmalonyl-CoA-decarboxylaseBeta-KOK20509,574.2
13,Acetanaerobacterium_elongatum,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,72.3
14,Acetanaerobacterium_elongatum,methylmalonyl-CoA-decarboxylaseGamma-KOK23351,147.5
15,Acetanaerobacterium_elongatum,methylmalonyl-CoA-epimerase-EC5-1-99-1,33.7
16,Acetanaerobacterium_elongatum,methylmalonyl-CoA-mutase-EC5-4-99-2,15.8
17,Achromobacter_denitrificans,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,72.0
18,Achromobacter_denitrificans,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,317.1
19,Achromobacter_denitrificans,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,41.8
20,Achromobacter_denitrificans,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,416.7
21,Achromobacter_denitrificans,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,14.9
22,Achromobacter_denitrificans,methylmalonyl-CoA-decarboxylaseGamma-KOK23351,100.8
23,Achromobacter_denitrificans,methylmalonyl-CoA-epimerase-EC5-1-99-1,66.6
24,Achromobacter_insuavis,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,68.1
25,Achromobacter_insuavis,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,313.6
26,Achromobacter_insuavis,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,38.0
27,Achromobacter_insuavis,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,410.5
28,Achromobacter_insuavis,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,16.1
29,Achromobacter_insuavis,methylmalonyl-CoA-decarboxylaseGamma-KOK23351,95.9
30,Achromobacter_insuavis,methylmalonyl-CoA-epimerase-EC5-1-99-1,55.8
31,Achromobacter_spanius,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,69.4
32,Achromobacter_spanius,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,319.5
33,Achromobacter_spanius,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,40.7
34,Achromobacter_spanius,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,414.0
35,Achromobacter_spanius,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,15.3
36,Achromobacter_spanius,methylmalonyl-CoA-decarboxylaseGamma-KOK23351,97.7
37,Achromobacter_spanius,methylmalonyl-CoA-epimerase-EC5-1-99-1,66.1
38,Achromobacter_xylosoxidans,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,68.5
39,Achromobacter_xylosoxidans,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,309.6
40,Achromobacter_xylosoxidans,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,37.0
41,Achromobacter_xylosoxidans,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,406.2
42,Achromobacter_xylosoxidans,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,14.4
43,Achromobacter_xylosoxidans,methylmalonyl-CoA-decarboxylaseGamma-KOK23351,96.3
44,Achromobacter_xylosoxidans,methylmalonyl-CoA-epimerase-EC5-1-99-1,61.7
45,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,93.5
46,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,635.5
47,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,535.5
48,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,844.6
49,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-decarboxylaseBeta-KOK20509,558.7
50,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,76.1
51,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-decarboxylaseGamma-KOK23351,157.3
52,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-epimerase-EC5-1-99-1,30.4
53,Acidaminococcus-intestini-D21-MAF-2,methylmalonyl-CoA-mutase-EC5-4-99-2,19.6
54,Acidaminococcus_fermentans,methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,91.6
55,Acidaminococcus_fermentans,methylmalonyl-CoA-carboxyltransferase12S-KOK17489,633.0
56,Acidaminococcus_fermentans,methylmalonyl-CoA-carboxyltransferase5S-KOK03416,559.1
57,Acidaminococcus_fermentans,methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,845.0
58,Acidaminococcus_fermentans,methylmalonyl-CoA-decarboxylaseBeta-KOK20509,563.8
59,Acidaminococcus_fermentans,methylmalonyl-CoA-decarboxylaseDelta-KOK23352,60.0
