taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	NCBI Assembly Accession	NCBI GenBank ID	Genome Size   * assembled	Gene Count   * assembled	
2718218467	Bacteria	Finished	Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais	Corynebacterium pseudotuberculosis 32	Federal University of Minas Gerais	2718218467	GCA_001867005.1	CP015183	2403533	2262	
2855386786	Bacteria	Permanent Draft	Nocardioides ferulae EGI 63112 genome sequencing	Nocardioides ferulae EGI 63112	Xinjiang Institute of Ecology and Geography, Chinese Academy of Sciences	2855386786	GCA_003660455.1	QZVR00000000	4752232	4574	
2597490150	Bacteria	Finished	Corynebacterium sp. 6931 Genome sequencing	Corynebacterium sp. 6931	Los Alamos National Laboratory	2597490150	GCA_000755185.1	CP008913	2471920	2185	
2511231067	Bacteria	Finished	Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil	Corynebacterium pseudotuberculosis sv. Ovis 3/99-5	Rede Paraense de Genomica e Proteomica	2511231067	GCA_000241855.1	CP003152	2337938	2203	
2648501440	Bacteria	Permanent Draft	Corynebacterium diphtheriae 17801 genome sequencing	Corynebacterium diphtheriae 17801	Pirogov Russian National Research Medical University	2648501440	GCA_000968865.1	JZUJ00000000	2488732	2400	
2537561671	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL046PA2	Washington University in St. Louis	2537561671	GCA_000144875.1	ADYV00000000	2508989	2643	
2511231099	Bacteria	Finished	Pan-genomics of Corynebacterium diphtheriae	Corynebacterium diphtheriae BH8	Bielefeld University	2511231099	GCA_000241935.1	CP003209	2485519	2429	
2859567418	Bacteria	Finished	Corynebacterium choanae 200CH genome sequencing	Corynebacterium choanae 200CH	Bielefeld University	2859567418	GCA_003813965.1	CP033896	2986773	2437	
2537561672	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL046PA1	Washington University in St. Louis	2537561672	GCA_000144285.1	ADZQ00000000	2476594	2597	
2728369357	Bacteria	Finished	Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais	Corynebacterium pseudotuberculosis 46	Federal University of Minas Gerais	2728369357	GCA_001867145.1	CP015190	2366565	2205	
2865304215	Bacteria	Permanent Draft	Phylogeny of diphtheria toxin and corresponding pathogenic features in different Corynebacterium spp.	Corynebacterium silvaticum KL0182	Bavarian Health and Food Safety Authority, Germany	2865304215	GCA_004382825.2	SDQO00000000	2554413	2663	
2531839316	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL087PA1	Washington University in St. Louis	2531839316	GCA_000145135.1	ADXQ00000000	2474478	2581	
2902680501	Bacteria	Permanent Draft	Pig intestinal bacterial collection (PIBAC)	Cutibacterium porci WCA-380-WT-3A	RWTH Aachen University	2902680501	GCA_009696315.1	VUMG00000000	2607935	2492	
