,strain,gene,hit_score
0,Abiotrophia_defectiva,pct,24.4
1,Acetanaerobacterium_elongatum,pct,27.7
2,Achromobacter_denitrificans,acrC,353.1
3,Achromobacter_denitrificans,pct,77.9
4,Achromobacter_insuavis,acrC,353.4
5,Achromobacter_insuavis,pct,77.3
6,Achromobacter_spanius,acrC,353.2
7,Achromobacter_spanius,pct,78.1
8,Achromobacter_xylosoxidans,acrC,354.2
9,Achromobacter_xylosoxidans,pct,77.4
10,Acidaminococcus-intestini-D21-MAF-2,acrC,404.6
11,Acidaminococcus-intestini-D21-MAF-2,lcdA,366.5
12,Acidaminococcus-intestini-D21-MAF-2,pct,23.3
13,Acidaminococcus_fermentans,acrC,406.8
14,Acidaminococcus_fermentans,lcdA,367.3
15,Acidaminococcus_fermentans,pct,19.6
16,Acidovorax_facilis,acrC,342.5
17,Acidovorax_facilis,pct,758.8
18,Acidovorax_wautersii,acrC,349.6
19,Acidovorax_wautersii,pct,709.1
20,Acinetobacter_baumannii,acrC,372.5
21,Acinetobacter_baumannii,pct,70.9
22,Acinetobacter_calcoaceticus,acrC,373.2
23,Acinetobacter_calcoaceticus,pct,67.4
24,Acinetobacter_haemolyticus,acrC,370.6
25,Acinetobacter_haemolyticus,pct,70.1
26,Acinetobacter_johnsonii,acrC,380.3
27,Acinetobacter_johnsonii,pct,76.8
28,Acinetobacter_junii,acrC,370.6
29,Acinetobacter_junii,pct,70.1
30,Acinetobacter_lwoffii,acrC,373.4
31,Acinetobacter_lwoffii,pct,75.2
32,Acinetobacter_pittii,acrC,374.8
33,Acinetobacter_pittii,pct,64.3
34,Acinetobacter_radioresistens,acrC,369.6
35,Acinetobacter_radioresistens,pct,73.3
36,Acinetobacter_septicus,acrC,305.7
37,Acinetobacter_septicus,pct,68.6
38,Actinobacillus_capsulatus,pct,88.8
39,Actinomyces_canis,acrC,111.6
40,Actinomyces_cardiffensis,acrC,133.6
41,Actinomyces_georgiae,acrC,122.0
42,Actinomyces_neuii,acrC,316.3
43,Actinomyces_turicensis,acrC,53.7
44,Adlercreutzia_equolifaciens,acrC,260.3
45,Aerococcus_viridans,acrC,114.2
46,Aeromicrobium_massiliense,acrC,303.4
47,Aeromonas_allosaccharophila,acrC,296.0
48,Aeromonas_bestiarum,acrC,293.5
49,Aeromonas_caviae,acrC,300.8
50,Aeromonas_enteropelogenes,acrC,297.4
51,Aeromonas_hydrophila,acrC,303.0
52,Aeromonas_jandaei,acrC,305.8
53,Aeromonas_media,acrC,288.1
54,Aeromonas_punctata,acrC,300.8
55,Aeromonas_tecta,acrC,296.0
56,Aeromonas_trota,acrC,297.4
57,Aeromonas_veronii,acrC,302.9
58,Afipia_birgiae,acrC,289.9
59,Agrobacterium_tumefaciens,acrC,346.6
